1,Family's Budget Pack Plain 130g,15.25
2,Saba Phil. Sardines - NCR 155g,17.25
3,Saba Phil. Sardines -  luzon/Viz/Min 155g,17.50
4,Atami Regular Lid 155g,20.50
5,Mikado Regular Lid 155g,20.50
6,King Cup Regular Lid 155g,18.00
7,Mariko Regular Lid 155g,19.8
8,Sallenas Regular Lid  155g,18.5
9,Atami EOC 155g,21.25
10,Mikado EOC 155g,21.25
11,Toyo Bunos Green Regular Lid 155g,18.699999999999999
12,555 Bunos Pack 155g,19.649999999999999
13,Lucky 7 155g,19.649999999999999
14,Toyo Bonus Green EOC,19.5
15,Jersy Sweetened Condesed Creamer 390g,44.5
16,Liberty 168mL,34.75
17,Cow Bell 300mL,41
18,Liberty 300mL,53
19,Angel Filled Milk 370mL,48
20,Bear Brand 135g,50
21,Birch Tree Full Cream Milk 150g,70.75
22,AlaskaFortified Powdered Milk Drink 165g,44
23,Jersey Fortified Instant Powdered Milk Drink 300g,96.25
24,Blend 45 Pure Soluble - Supermarket 25g,20.25
25,Great taste (Premium) SMKT 25g,21.600000000000001
26,Great taste (Granules) SMKT 25g,22
27,Great taste (Premium) SMKT 50g,42.200000000000003
28,Great taste (Granules) SMKT 50g,43
29,Cafe Puro 17g,4.7000000000000002
30,Blend45 3-in-1 Original 18g,4.5
31,San Mig Coffee 3-in-1 Original 20g,7
32,Nescafe Original 26g,7.75
33,Kopiko Black 30g,8.5
34,Great Taste Original Twin Pack 33g,8.25
35,Pinoy Pandesal (10pcs/pack) 250g ,27.25
36,Pinoy Tasty 450g,44
37,Payless (Instant Mami chicken and Instant Mami  Beef) 55g,7.5
38,Quick Chow (Instant Mami chicken and Instant Mami  Beef) 55g,7.75
39,"Ho-Mi (Instant Mami chicken,Garlic, and Instant Mami Beef Brisket) 55g",8.5
40,Lucky Me! (Instant Mami chicken na chicken and Instant Mami Beef na Beef) 55g,8. 75
41,Lasap Rock Salt 250g,7.5
42,Fidel Coarse (Red) - Luzon 250g,11
43,Fidel Coarse (Red) - Visayas and Mindanao 250g,11.75
44,Lasap Rock Salt 500g,13.5
45,Fidel Coarse (Red) - Luzon 500g,21.25
46,Fidel Coarse (Red) - Visayas and Mindanao 500g,22.5
47,Lasap Rock Salt 1kg,25
48,Lasap Iodized Salt 100g,4.75
49,Lasap Iodized Salt 250g,9.75
50,Fidel Refined (Blue) - Luzon 250g,11.75
51,Fidel Refined (Blue ) - Visayas and Mindanao 250g,12.25
52,Fidel Free Flowing (Green) - Luzon 250g,12.75
53,Fidel Free Flowing (Green) - Visayas and Mindanao 250g,13.5
54,Lasap Iodized Salt 500g,17.25
55,Fidel Refined (Blue) - Luzon 500g,23
56,Fidel Refined (Blue ) - Visayas and Mindanao 500g,23.25
57,Fidel Free Flowing (Green) - Luzon 500g,25
58,Fidel Free Flowing (Green) - Visayas and Mindanao 500g,25.5
59,Lasap Iodized Salt 1kg,31.5
60,"Sulit Bar (Blue, White, Kalamansi Speckled Blue) - Visayas and Mindanao 330g",19.25
61,"Bareta Bar (Blue, White, Kalamansi Speckled Blue) - Visayas and Mindanao 330g",19.75
62,"Budget Bar (White Anti-Bac., Fabcon, Kalamsi, Power Blue, Speckled Blue) - Luzon 330g",21
63,"Budget Bar (White Anti-Bac., Fabcon, Kalamsi, Power Blue, Speckled Blue) - Visayas and Mindanao 330g",21.25
64,Speed Long Bar Blue 330g,21.5
65,"Speed Long Bar (White, Speckled Blue, Kalamansi) 330g",22.5
66,Surf with ActiveClean Technology Blue Bar 360g,21.75
67,Surf with ActiveClean Technology Kalamansi Bar 360g,23
68,Surf with ActiveClean Technology Tawas Bar 360g,23
69,"Champion Bar (Supra Clean, Citrus Fresh) 370g",23
70,"Bonux - Flower Fiesta, Kalamansi Zest 380g",21
71,Tide Bar Original Scent 380g,24
72,SM Bonus 325mL,6.5
73,Wilkins 330mL,12
74,Absolute 350mL,12
75,SM Bonus 500mL ,8.5
76,Absolute 500mL,16.25
77,Wilkins 500mL,17
78,Wilkins 1L,25
79,Absolute 1L,25
80,Absolute 6L,82
81,SM Bonus 6.6L,54
82,Wilkins 7L,88
83,SM Bonus 300mL,5
84,Magnolia Pure 355mL,8.5
85,Refresh 500mL,6.75
